GeographyCode,all,bed1,bed2,bed3,bed4,bed5
E07000106,60771,6858,18526,21675,9998,3714
E07000107,40081,5441,11735,16991,4732,1182
E07000108,48310,4894,15117,20402,5999,1898
E07000109,40431,4980,9535,19144,5332,1440
E07000110,63447,6078,16993,26361,10692,3323
E07000111,47020,4327,10782,18409,9164,4338
E07000112,47379,6237,15136,16913,6879,2214
E07000113,55585,5172,14850,26016,7470,2077
E07000114,59513,8569,20591,20707,6924,2722
E07000115,48140,3888,11470,20481,9047,3254
E07000116,47174,6968,12403,15597,8142,4064
E07000117,37550,3340,14815,14951,3625,819
E07000118,44919,3316,11705,20262,8041,1595
E07000119,34885,3658,10367,13142,6078,1640
E07000120,34341,3009,14610,12783,3353,586
E07000121,57822,6009,17491,23730,7768,2824
E07000122,37348,3282,13777,15251,3947,1091
E07000123,57567,7255,15350,25262,7575,2125
E07000124,24045,1616,6787,9433,4633,1576
E07000125,29058,2933,9808,10832,4497,988
E07000126,46102,2736,11459,22671,7814,1422
E07000127,45381,3046,9796,21425,8776,2338
E07000128,47281,3709,14470,20473,7000,1629
E07000129,38686,1928,7975,19732,7332,1719
E07000130,66516,5723,15940,29419,11673,3761
E07000131,34898,2085,7852,13018,8975,2968
E07000132,45377,2707,12110,20629,7915,2016
E07000133,21490,1290,4658,9949,4188,1405
E07000134,39128,2290,9119,18533,7419,1767
E07000135,21339,1043,5250,10298,3743,1005
E07000136,27291,2424,8006,12792,3211,858
E07000137,60890,4214,21133,24468,8375,2700
E07000138,39825,5303,12600,16080,4646,1196
E07000139,45972,1606,11542,21206,9170,2448
E07000140,37264,2135,10684,17240,5668,1537
E07000141,57344,3083,13619,25558,11605,3479
E07000142,38385,1630,9618,17256,7569,2312
E07000143,54519,3733,14713,24172,9212,2689
E07000144,53336,2692,13282,24134,10675,2553
E07000145,42079,4546,13273,17948,4891,1421
E07000146,62977,4736,18495,27311,9671,2764
E07000147,46046,3257,14746,19290,6468,2285
E07000148,60319,9822,18383,24781,5417,1916
E07000149,52809,2955,13330,22652,10735,3137
E07000150,25215,1637,5233,13797,3871,677
E07000151,31647,1833,6845,12642,7790,2537
E07000152,35662,2152,8070,15949,7479,2012
E07000153,39701,3147,10559,18008,6288,1699
E07000154,88731,10508,25501,35903,13557,3262
E07000155,34717,1575,7268,13891,9184,2799
E07000156,32057,2785,7402,15740,5002,1128
E07000163,24583,1904,7042,10333,3979,1325
E07000164,38117,2594,9314,14945,8332,2932
E07000165,67169,6356,17314,25205,13506,4788
E07000166,20207,1327,5186,8857,3624,1213
E07000167,22524,1374,6316,9325,3952,1557
E07000168,49435,5953,15874,18707,6486,2415
E07000169,34559,2021,8227,15331,7083,1897
E07000170,50931,3215,14488,26986,5282,960
E07000171,47667,3115,11091,23606,7735,2120
E07000172,46820,3217,11878,23194,6990,1541
E07000173,49349,3053,12417,24647,7376,1856
E07000174,44928,3838,12053,23170,4953,914
E07000175,48773,2838,10971,23886,8257,2821
E07000176,45835,2507,9926,18311,11258,3833
E07000177,56728,5191,12971,24971,10400,3195
E07000178,55375,9023,14995,19985,7782,3590
E07000179,54104,4236,12802,21581,11215,4270
E07000180,49407,3976,10425,19726,11403,3877
E07000181,43241,3229,10774,17657,8662,2919
E07000187,46157,4386,11311,19054,8358,3048
E07000188,48801,4134,12569,20360,9003,2735
E07000189,69501,6004,17888,30027,11883,3699
E07000190,46907,4771,12233,19117,8241,2545
E07000191,15623,1339,4546,6491,2238,1009
E07000192,40664,4395,10281,19632,5466,890
E07000193,47251,3870,12456,20797,8121,2007
E07000194,41224,2645,9218,18588,8176,2597
E07000195,52574,4813,15190,24445,6561,1565
E07000196,44458,2676,10724,19804,9081,2173
E07000197,55703,4607,12768,24758,10805,2765
E07000198,41772,2568,11404,19750,6525,1525
E07000199,31617,2736,6928,16263,4966,724
E07000200,37522,2409,9525,15756,7576,2256
E07000201,25376,2328,8768,9801,3545,934
E07000202,57298,7473,14543,28592,5252,1438
E07000203,40306,2461,10093,16298,8547,2907
E07000204,45802,3854,11347,20127,8252,2222
E07000205,53558,3983,13285,21299,11209,3782
E07000206,50883,4657,14185,23460,6752,1829
E07000207,52922,5334,12692,16873,10874,7149
E07000208,29784,2720,7545,11683,5943,1893
E07000209,53973,6379,13075,19908,10225,4386
E07000210,35828,4660,8396,12025,7309,3438
E07000211,55423,5843,14333,20851,10089,4307
E07000212,32714,4438,8951,11793,5475,2057
E07000213,39512,5001,10564,17096,5579,1272
E07000214,33546,2686,6260,12252,9126,3222
E07000215,33342,3221,8405,11935,6527,3254
E07000216,49280,5110,11417,17330,10578,4845
E07000217,39467,5274,9288,14235,7420,3250
E07000218,25812,1769,6020,13067,3938,1018
E07000219,52711,4126,13350,27055,6987,1193
E07000220,41875,3468,10464,18433,7302,2208
E07000221,51928,3534,13238,19705,11190,4261
E07000222,58679,6165,16314,21771,10415,4014
E07000223,26957,3183,9046,11396,2666,666
E07000224,66706,8414,21664,25025,9124,2479
E07000225,49848,4776,13954,18945,8686,3487
E07000226,42727,5620,9732,20718,5598,1059
E07000227,54923,5880,13053,20591,11327,4072
E07000228,57409,6106,13612,21719,12149,3823
E07000229,47044,8476,15081,16885,5143,1459
E07000234,38290,2764,7262,17390,8329,2545
E07000235,32212,2729,7985,12586,6518,2394
E07000236,34722,4412,7064,16211,5887,1148
E07000237,42042,5154,10574,18650,6144,1520
E07000238,49466,4212,11483,19552,11004,3215
E07000239,42985,4062,10935,20141,6289,1558
E08000001,116371,12103,39447,48024,13416,3381
E08000002,78113,7042,23682,34249,10619,2521
E08000003,204969,33830,65639,82942,15776,6782
E08000004,89703,8241,33359,36544,9110,2449
E08000005,87552,10082,28060,37033,9929,2448
E08000006,103556,14052,35592,42491,8733,2688
E08000007,121979,11489,33050,53800,18321,5319
E08000008,94953,9999,33179,41244,8664,1867
E08000009,94484,8702,21536,45069,14017,5160
E08000010,136386,10230,39854,68148,15614,2540
E08000011,61323,4129,12838,35574,7787,995
E08000012,206515,26846,54680,97667,20586,6736
E08000013,75736,4788,19943,42206,7305,1494
E08000014,117930,10933,25565,58900,17218,5314
